Name,Rating,IATA_name
Qatar Airways,1,Qatar Airways (Q.C.S.C.)
Singapore Airlines,2,Singapore Airlines Limited
ANA All Nippon Airways,3,All Nippon Airways Co. Ltd.
Cathay Pacific Airways,4,Cathay Pacific Airways Ltd.
Emirates,5,Emirates
EVA Air,6,EVA Airways Corporation
Hainan Airlines,7,
Qantas Airways,8,Qantas Airways Ltd.
Lufthansa,9,
Thai Airways,10,"Thai AirAsia Co., Ltd."
Japan Airlines,11,"Japan Airlines Co., Ltd."
Garuda Indonesia,12,PT. Garuda Indonesia (PERSERO) Tbk dba Garuda Indonesia
Swiss International Air Lines,13,SWISS International Air Lines Ltd dba SWISS
China Southern Airlines,14,
Austrian Airlines,15,
Air New Zealand,16,Air New Zealand Limited
Bangkok Airways,17,
KLM Royal Dutch Airlines,18,KLM
British Airways,19,British Airways p.l.c.
AirAsia,20,
Virgin Atlantic,21,Virgin Atlantic Airways Limited
Aeroflot,22,PJSC Aeroflot
Air France,23,
Hong Kong Airlines,24,Hong Kong Airlines Limited
Virgin Australia,25,
Iberia,26,
Turkish Airlines,27,Turkish Airlines Inc.
Asiana Airlines,28,Asiana Airlines Inc.
Etihad Airways,29,
Philippine Airlines,30,"Philippine Airlines, Inc."
Air Canada,31,Air Canada
Finnair,32,Finnair Oyj
Cathay Dragon,33,
China Airlines,34,China Airlines Ltd.
Korean Air,35,Korean Air Lines Co. Ltd.
Malaysia Airlines,36,Malaysia Airlines Berhad dba Malaysia Airlines
EasyJet,37,
Aer Lingus,38,
Norwegian,39,
jetBlue Airways,40,
Delta Air Lines,41,
Aegean Airlines,42,
Oman Air,43,
Ethiopian Airlines,44,
Fiji Airways,45,Air Pacific Limited t/a Fiji Airway
South African Airways,46,
Southwest Airlines,47,
AirAsia X,48,Airasia X Berhad dba Airasia X
LATAM,49,
Azul Airlines,50,
Air Astana,51,
Azerbaijan Airlines,52,
Jetstar Airways,53,
Alaska Airlines,54,
WestJet,55,
Vietnam Airlines,56,Vietnam Airlines JSC dba Vietnam Airlines JSC
Saudi Arabian Airlines,57,
IndiGo,58,Interglobe Aviation Ltd. dba Indigo
Ryanair,59,
Air Transat,60,
Air Mauritius,61,
SilkAir,62,
Eurowings,63,
Scoot,64,Scoot Tigerair Pte. Ltd dba Scoot
SAS Scandinavian,65,
Royal Brunei Airlines,66,Royal Brunei Airlines Sdn. Bhd.
LOT Polish,67,
United Airlines,68,"United Airlines, Inc."
Vistara,69,TATA SIA AIRLINES LTD dba VISTARA
Avianca,70,
Gulf Air,71,
Alitalia,72,
AtlasGlobal,73,
American Airlines,74,American Airlines Inc.
China Eastern Airlines,75,China Eastern Airlines
TAP Portugal,76,
TUI Airways,77,
Copa Airlines,78,
Brussels Airlines,79,
Juneyao Airlines,80,
Jetstar Asia,81,
Porter Airlines,82,
Hawaiian Airlines,83,
American Eagle,84,
PAL Express,85,
Peach,86,
Air Malta,87,
Air Seychelles,88,
Air Dolomiti,89,
Kenya Airways,90,
Vueling Airlines,91,
Air Canada rouge,92,
Royal Air Maroc,93,
LEVEL,94,
Jet2.com,95,
S7 Airlines,96,
Royal Jordanian Airlines,97,Royal Jordanian
Flynas,98,
Air China,99,
Icelandair,100,
